Range_of_Balance,Range_of_Balance,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,deposit_gbp,bonus_account_bonus_gbp,all_balance_x,all_balance_y
28-[37],6270,0.99,0.97,0.96,0.88,0.75,0.64,0.55,0.49,0.43,0.39,0.35,0.32,0.29,0.28,0.26,0.24,0.22,0.21,0.19,0.18,0.17,0.16,0.16,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,22.57,14.39,36.51,37.5
29-[38],7085,0.99,0.98,0.97,0.88,0.75,0.63,0.54,0.48,0.43,0.38,0.34,0.31,0.29,0.26,0.24,0.23,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,23.25,14.74,37.51,38.5
30-[39],7388,0.99,0.98,0.96,0.86,0.72,0.62,0.53,0.47,0.42,0.37,0.34,0.31,0.28,0.26,0.25,0.23,0.22,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,24.1,14.86,38.51,39.5
31-[40],32346,0.98,0.95,0.91,0.8,0.66,0.54,0.46,0.39,0.34,0.3,0.27,0.24,0.22,0.2,0.19,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,20.87,19.14,39.51,40.5
32-[41],6567,0.99,0.98,0.97,0.87,0.73,0.61,0.53,0.46,0.41,0.37,0.33,0.3,0.27,0.25,0.23,0.21,0.2,0.19,0.17,0.16,0.16,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,24.52,16.5,40.51,41.5
33-[42],8314,0.99,0.98,0.97,0.88,0.73,0.62,0.53,0.46,0.4,0.36,0.32,0.29,0.27,0.25,0.23,0.21,0.2,0.19,0.17,0.16,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,25.63,16.36,41.51,42.5
34-[43],7162,0.99,0.98,0.97,0.88,0.74,0.63,0.54,0.48,0.43,0.38,0.35,0.32,0.29,0.27,0.25,0.23,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,26.0,16.99,42.51,43.5
35-[44],8549,0.99,0.98,0.96,0.87,0.73,0.61,0.52,0.45,0.4,0.35,0.32,0.29,0.26,0.24,0.22,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,28.52,15.45,43.51,44.5
36-[45-50),25708,0.99,0.98,0.96,0.88,0.74,0.62,0.54,0.47,0.41,0.37,0.33,0.3,0.28,0.25,0.23,0.22,0.2,0.19,0.17,0.16,0.15,0.15,0.14,0.13,0.12,0.12,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,30.34,16.21,44.51,49.5
37-[50-100),158151,0.99,0.97,0.96,0.88,0.75,0.64,0.55,0.48,0.42,0.38,0.34,0.31,0.28,0.26,0.23,0.22,0.2,0.19,0.17,0.16,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,44.52,23.3,49.51,99.5
38-[100-400),123854,0.99,0.97,0.95,0.89,0.79,0.69,0.6,0.52,0.46,0.4,0.36,0.32,0.29,0.26,0.24,0.22,0.2,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,130.48,47.29,99.51,399.49
39-[400-700),16517,0.98,0.96,0.94,0.89,0.82,0.73,0.64,0.56,0.48,0.42,0.37,0.33,0.29,0.26,0.23,0.21,0.19,0.17,0.16,0.15,0.13,0.12,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,396.1,115.94,399.52,699.43
40-[700-),11036,0.99,0.98,0.96,0.93,0.87,0.79,0.7,0.62,0.53,0.46,0.41,0.36,0.31,0.28,0.25,0.22,0.2,0.18,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1244.03,166.39,699.52,46353.5
